species,meanCFR_adenoviridae,maxCFR_adenoviridae,virusesWithCFR_adenoviridae,htrans_adenoviridae,on.frac_adenoviridae,virusesWithOT_adenoviridae,meanCFR_nairoviridae,maxCFR_nairoviridae,virusesWithCFR_nairoviridae,htrans_nairoviridae,on.frac_nairoviridae,virusesWithOT_nairoviridae,meanCFR_parvoviridae,maxCFR_parvoviridae,virusesWithCFR_parvoviridae,htrans_parvoviridae,on.frac_parvoviridae,virusesWithOT_parvoviridae,meanCFR_bornaviridae,maxCFR_bornaviridae,virusesWithCFR_bornaviridae,htrans_bornaviridae,on.frac_bornaviridae,meanCFR_caliciviridae,maxCFR_caliciviridae,virusesWithCFR_caliciviridae,htrans_caliciviridae,on.frac_caliciviridae,virusesWithOT_caliciviridae,meanCFR_filoviridae,maxCFR_filoviridae,virusesWithCFR_filoviridae,htrans_filoviridae,on.frac_filoviridae,meanCFR_herpesviridae,maxCFR_herpesviridae,virusesWithCFR_herpesviridae,htrans_herpesviridae,on.frac_herpesviridae,meanCFR_phenuiviridae,maxCFR_phenuiviridae,virusesWithCFR_phenuiviridae,htrans_phenuiviridae,on.frac_phenuiviridae,meanCFR_paramyxoviridae,maxCFR_paramyxoviridae,virusesWithCFR_paramyxoviridae,htrans_paramyxoviridae,on.frac_paramyxoviridae,meanCFR_peribunyaviridae,maxCFR_peribunyaviridae,virusesWithCFR_peribunyaviridae,htrans_peribunyaviridae,on.frac_peribunyaviridae,meanCFR_retroviridae,maxCFR_retroviridae,virusesWithCFR_retroviridae,htrans_retroviridae,on.frac_retroviridae,meanCFR_orthomyxoviridae,maxCFR_orthomyxoviridae,virusesWithCFR_orthomyxoviridae,htrans_orthomyxoviridae,on.frac_orthomyxoviridae,meanCFR_hepeviridae,maxCFR_hepeviridae,virusesWithCFR_hepeviridae,htrans_hepeviridae,on.frac_hepeviridae,meanCFR_coronaviridae,maxCFR_coronaviridae,virusesWithCFR_coronaviridae,htrans_coronaviridae,on.frac_coronaviridae,meanCFR_arenaviridae,maxCFR_arenaviridae,virusesWithCFR_arenaviridae,htrans_arenaviridae,on.frac_arenaviridae,meanCFR_reoviridae,maxCFR_reoviridae,virusesWithCFR_reoviridae,htrans_reoviridae,on.frac_reoviridae,meanCFR_picornaviridae,maxCFR_picornaviridae,virusesWithCFR_picornaviridae,htrans_picornaviridae,on.frac_picornaviridae,meanCFR_hantaviridae,maxCFR_hantaviridae,virusesWithCFR_hantaviridae,htrans_hantaviridae,on.frac_hantaviridae,meanCFR_togaviridae,maxCFR_togaviridae,virusesWithCFR_togaviridae,htrans_togaviridae,on.frac_togaviridae,meanCFR_poxviridae,maxCFR_poxviridae,virusesWithCFR_poxviridae,htrans_poxviridae,on.frac_poxviridae,meanCFR_rhabdoviridae,maxCFR_rhabdoviridae,virusesWithCFR_rhabdoviridae,htrans_rhabdoviridae,on.frac_rhabdoviridae,meanCFR_flaviviridae,maxCFR_flaviviridae,virusesWithCFR_flaviviridae,htrans_flaviviridae,on.frac_flaviviridae
Canis lupus,0,0,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.785714286,0.785714286,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,NA,NA,NA,NA,NA,0.5764337723333334,0.5764337723333334,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2501025411,0.2501025411,1,1,1,0.025,0.025,1,1,1,0.0587578508,0.0587578508,1,1,1,NA,NA,NA,NA,NA,0.003275,0.003275,1,1,1,0,0,2,0,0,NA,NA,NA,NA,NA,0.0829871316,0.33,4,0,0,0,0,1,0,0,0.5,1,4,0,0,0.09493144286571428,0.25,7,1,0.14285714285714285
Felis catus,0,0,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.785714286,0.785714286,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,NA,NA,NA,NA,NA,0.5764337723333334,0.5764337723333334,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2501025411,0.2501025411,1,1,1,0.025,0.025,1,1,1,0.0587578508,0.0587578508,1,1,1,NA,NA,NA,NA,NA,0.003275,0.003275,1,1,1,0,0,1,NA,NA,0.0027500000000000003,0.0055000000000000005,2,0,0,0.0019485264,0.0019485264,1,0,0,0,0,1,0,0,1,1,2,0,0,0.25,0.25,1,0,0
Gorilla beringei,0,0,2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76,0.76,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003275,0.003275,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gorilla gorilla,0,0,3,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,0,NA,0.76,0.76,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0587578508,0.0587578508,1,1,1,NA,NA,NA,NA,NA,0.003275,0.003275,1,1,1,0,0,1,1,1,NA,NA,NA,NA,NA,6e-4,6e-4,1,1,1,0.055,0.055,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pan paniscus,0,0,3,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,4,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pan troglodytes,0,0,3,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76,0.76,1,1,1,0.8,0.8,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,4,2,0.6666666666666666,NA,NA,NA,NA,NA,0.025,0.025,1,1,1,0.0587578508,0.0587578508,1,1,1,NA,NA,NA,NA,NA,0.003275,0.003275,1,1,1,0,0,2,1,1,NA,NA,NA,NA,NA,6e-4,6e-4,1,1,1,0.055,0.055,1,1,1,NA,NA,NA,NA,NA,0.15137936846666666,0.325,3,2,0.6666666666666666
Bos taurus,NA,NA,NA,NA,NA,NA,0,0,1,NA,0,NA,NA,NA,NA,NA,NA,NA,0.785714286,0.785714286,1,0,0,0,0,1,NA,0,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0.01,0.01,2,0,0,0.2882168861666667,0.5764337723333334,2,1,0.5,0,0,2,0,0,NA,NA,NA,NA,NA,0.2501025411,0.2501025411,1,1,1,0.025,0.025,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0016375,0.003275,2,1,1,0,0,2,0,0,NA,NA,NA,NA,NA,0.09298713160000001,0.33,4,0,0,0,0,4,0,0,0.25,1,4,0,0,0.06033603276,0.25,10,0,0
Camelus bactrianus,NA,NA,NA,NA,NA,NA,0,0,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.01,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2501025411,0.2501025411,1,1,1,0.025,0.025,1,1,1,0.3442113442,0.3442113442,1,1,1,NA,NA,NA,NA,NA,0.003275,0.003275,1,1,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,0,1,1,1,0,0,0,0,1,NA,NA
Camelus dromedarius,NA,NA,NA,NA,NA,NA,0,0,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.01,1,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2501025411,0.2501025411,1,1,1,0.025,0.025,1,1,1,0.3442113442,0.3442113442,1,1,1,NA,NA,NA,NA,NA,0.003275,0.003275,1,1,1,0,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,4,0,0,1,1,1,0,0,0.023069052700000002,0.046138105400000004,2,0,0
Capra hircus,NA,NA,NA,NA,NA,NA,0,0,1,NA,0,NA,NA,NA,NA,NA,NA,NA,0.785714286,0.785714286,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0.01,0.01,1,0,0,0.5764337723333334,0.5764337723333334,1,1,1,0,0,2,0,0,NA,NA,NA,NA,NA,0.2501025411,0.2501025411,1,1,1,0.025,0.025,1,1,1,0.3442113442,0.3442113442,1,1,1,NA,NA,NA,NA,NA,0.0010916666666666668,0.003275,3,1,1,0,0,1,0,0,NA,NA,NA,NA,NA,0.1106495088,0.33,3,0,0,0,0,2,0,0,0.5,1,2,0,0,0.06767206552,0.25,5,0,0
