species,cites
Abrothrix longipilis,14
Abrothrix olivaceus,10
Abrothrix sanborni,1
Acerodon celebensis,1
Acinonyx jubatus,414
Acomys cahirinus,312
Addax nasomaculatus,35
Aepyceros melampus,175
Aethomys namaquensis,11
Ailuropoda melanoleuca,3459
Ailurus fulgens,155
Akodon azarae,70
Akodon cursor,37
Akodon montensis,63
Akodon paranaensis,10
Akodon simulator,4
Akodon varius,1
Alcelaphus buselaphus,35
Alces alces,667
Alces americanus,29
Allenopithecus nigroviridis,12
Alouatta belzebul,35
Alouatta caraya,194
Alouatta palliata,208
Alouatta pigra,119
Alouatta sara,6
Alticola argentatus,5
Ammotragus lervia,73
Anoura caudifer,9
Anoura geoffroyi,18
Antidorcas marsupialis,78
Antilocapra americana,120
Antilope cervicapra,49
Antrozous pallidus,39
Aotus trivirgatus,954
Apodemus agrarius,499
Apodemus argenteus,47
Apodemus flavicollis,428
Apodemus mystacinus,14
Apodemus pallipes,1
Apodemus peninsulae,81
Apodemus ponticus,6
Apodemus sylvaticus,540
Apodemus uralensis,34
Arctocephalus gazella,115
Artibeus fimbriatus,6
Artibeus jamaicensis,132
Artibeus lituratus,143
Artibeus obscurus,13
Artibeus planirostris,48
Arvicanthis niloticus,204
Arvicola amphibius,46
Arvicola scherman,14
Aselliscus stoliczkanus,17
Ateles fusciceps,38
Ateles geoffroyi,249
Ateles paniscus,58
Atherurus africanus,16
Atilax paludinosus,10
Axis axis,107
Baiomys taylori,14
Balaena mysticetus,245
Balaenoptera borealis,838
Balaenoptera physalus,478
Bandicota bengalensis,103
Bandicota indica,91
Bandicota savilei,17
Barbastella barbastellus,34
Bassaricyon gabbii,4
Bassariscus astutus,1814
Bettongia gaimardi,32
Bibimys chacoensis,0
Bison bison,661
Bison bonasus,260
Blarina brevicauda,97
Blastocerus dichotomus,44
Bos frontalis,138
Bos gaurus,77
Bos grunniens,409210
Bos indicus,409218
Bos mutus,32
Bos primigenius,113
Bos taurus,409589
Boselaphus tragocamelus,42
Bradypus tridactylus,49
Bradypus variegatus,82
Bubalus arnee,22
Budorcas taxicolor,44
Cabassous centralis,1
Callimico goeldii,140
Callithrix geoffroyi,40
Callithrix jacchus,5331
Callithrix penicillata,143
Callorhinus ursinus,199
Calomys callidus,9
Calomys callosus,114
Calomys fecundus,2
Calomys laucha,32
Calomys musculinus,59
Calomys tener,12
Caluromys derbianus,10
Caluromys philander,21
Camelus bactrianus,5981
Camelus dromedarius,5981
Canis adustus,19
Canis aureus,177
Canis latrans,1035
Canis lupus,3599
Canis mesomelas,60
Canis simensis,2813
Capra aegagrus,171
Capra caucasica,4
Capra hircus,1269
Capra ibex,150
Capra pyrenaica,150
Capreolus capreolus,896
Capricornis sumatraensis,15
Caracal caracal,41
Carollia brevicauda,23
Carollia subrufa,0
Castor canadensis,165
Castor fiber,195
Cavia porcellus,146421
Cebuella pygmaea,52
Cebus albifrons,110
Cebus capucinus,201
Cephalophus callipygus,2
Ceratotherium simum,300
Cercocebus agilis,10
Cercocebus atys,350
Cercocebus galeritus,15
Cercocebus torquatus,78
Cercopithecus ascanius,58
Cercopithecus cephus,27
Cercopithecus diana,30
Cercopithecus erythrotis,6
Cercopithecus hamlyni,0
Cercopithecus lhoesti,19
Cercopithecus mitis,100
Cercopithecus mona,27
Cercopithecus neglectus,31
Cercopithecus nictitans,42
Cercopithecus petaurista,6
Cercopithecus pogonias,8
Cercopithecus solatus,7
Cerdocyon thous,180
Cervus elaphus,2083
Cervus nippon,571
Chaerephon plicatus,6
Chaerephon pumilus,10
Chinchilla lanigera,152
Chionomys nivalis,20
Chionomys roberti,2
Chironectes minimus,5
Chlorocebus aethiops,43614
Chlorocebus cynosuros,43617
Chlorocebus pygerythrus,43642
Chlorocebus sabaeus,43636
Chlorocebus tantalus,43617
Choeropsis liberiensis,28
Choloepus didactylus,67
Choloepus hoffmanni,89
Chrotopterus auritus,7
Chrysocyon brachyurus,356739
Civettictis civetta,19
Coendou mexicanus,1
Colobus guereza,119
Connochaetes gnou,32
Connochaetes taurinus,123
Corynorhinus townsendii,21
Cricetomys emini,5
Cricetomys gambianus,128
Cricetulus barabensis,70
Crocidura lasiura,44
Crocidura leucodon,31
Crocidura russula,133
Crocuta crocuta,248
Cuniculus paca,129
Cynictis penicillata,17
Cynomops abrasus,2
Cynomops planirostris,4
Cynomys ludovicianus,228
Cynopterus brachyotis,52
Dama dama,541
Damaliscus lunatus,24
Damaliscus pygargus,31
Dasyprocta fuliginosa,8
Dasyprocta punctata,9
Dasypus novemcinctus,364
Dendrolagus goodfellowi,5
Dermanura cinereus,0
Dermanura phaeotis,4
Dermanura toltecus,0
Desmodus rotundus,472
Diaemus youngi,15
Diceros bicornis,246
Diclidurus albus,0
Dicrostonyx groenlandicus,57
Didelphis albiventris,250
Didelphis marsupialis,339
Didelphis virginiana,1478
Diphylla ecaudata,21
Diplomys labilis,0
Dipodomys heermanni,4
Dipodomys merriami,77
Dipodomys microps,8
Dipodomys nitratoides,1
Dobsonia anderseni,0
Dobsonia moluccensis,2
Dryomys nitedula,24
Eidolon dupreanum,18
Eidolon helvum,146
Elaphodus cephalophus,21
Elaphurus davidianus,90
Elephas maximus,3730
Eliurus majori,1
Enhydra lutris,1149
Epomops franqueti,12
