"","vfamily","dataset","variable","K","P"
"1","all viruses","all mammals","meanCFR",0.0575287527498331,0.001
"2","all viruses","all mammals","maxCFR",0.0636250943555999,0.001
"3","all viruses","all mammals","on.frac",0.0669160124063392,0.001
"4","all viruses","all mammals","meanDB",0.0640372216214676,0.001
"5","all viruses","bats only","meanCFR",0.136536890247864,0.001
"6","all viruses","bats only","maxCFR",0.119091207482753,0.011
"7","all viruses","bats only","on.frac",0.120360288478914,0.027
"8","all viruses","bats only","meanDB",0.245208479694724,0.005
"9","coronaviridae","all mammals","meanCFR",0.497562984310374,0.001
"10","coronaviridae","all mammals","maxCFR",0.509376768181006,0.001
"11","coronaviridae","all mammals","on.frac",55.6988938827912,1
"12","coronaviridae","all mammals","meanDB",0.497562984310373,0.001
"13","coronaviridae","bats only","meanCFR",1.77272957203084,0.001
"14","coronaviridae","bats only","maxCFR",1.75670719832224,0.001
"15","coronaviridae","bats only","on.frac",10.3037035817705,1
"16","coronaviridae","bats only","meanDB",1.77272957203084,0.001
"17","flaviviridae","all mammals","meanCFR",0.158053961146425,0.001
"18","flaviviridae","all mammals","maxCFR",0.122464632925454,0.001
"19","flaviviridae","all mammals","on.frac",0.120076550998547,0.001
"20","flaviviridae","all mammals","meanDB",0.129208408552654,0.001
"21","flaviviridae","bats only","meanCFR",0.450969956964294,0.001
"22","flaviviridae","bats only","maxCFR",0.154124717699264,0.481
"23","flaviviridae","bats only","on.frac",0.146055174633074,0.669
"24","flaviviridae","bats only","meanDB",0.110570601338861,0.866000000000001
"25","rhabdoviridae","all mammals","meanCFR",0.107846860427282,0.001
"26","rhabdoviridae","all mammals","maxCFR",0.279294856443236,0.001
"27","rhabdoviridae","all mammals","meanDB",0.0843551363179724,0.001
"28","rhabdoviridae","bats only","meanCFR",0.227649428358373,0.052
"29","rhabdoviridae","bats only","maxCFR",0.286518678821175,0.147
"30","rhabdoviridae","bats only","meanDB",0.300298369296381,0.001
"31","togaviridae","all mammals","meanCFR",0.156818096769996,0.001
"32","togaviridae","all mammals","maxCFR",0.122980011968081,0.001
"33","togaviridae","all mammals","on.frac",0.509679953116027,0.001
"34","togaviridae","all mammals","meanDB",0.116451644149274,0.001
"35","togaviridae","bats only","meanCFR",0.281955452413511,0.017
"36","togaviridae","bats only","maxCFR",0.134591905841841,0.45
"37","togaviridae","bats only","on.frac",1.09386649093474,0.001
"38","togaviridae","bats only","meanDB",0.199321517730066,0.0930000000000001
"39","paramyxoviridae","all mammals","meanCFR",0.103048385369654,0.044
"40","paramyxoviridae","all mammals","maxCFR",0.210529798175006,0.025
"41","paramyxoviridae","all mammals","on.frac",0.152665418209402,0.007
"42","paramyxoviridae","all mammals","meanDB",0.11274293047258,0.015
"43","paramyxoviridae","bats only","meanCFR",0.0963160250382863,0.274
"44","paramyxoviridae","bats only","maxCFR",0.131900580625116,0.224
"45","paramyxoviridae","bats only","on.frac",0.245705539750736,0.002
"46","paramyxoviridae","bats only","meanDB",0.19343486973777,0.007
