"","ID","factor","taxa","tips","node","clade","other"
"1","cmean",1,"NATALIDAE, MOLOSSIDAE, VESPERTILIONIDAE, NYCTERIDAE, EMBALLONURIDAE",109,1253,0.69,0.19
"2","cmean",2,"CANIDAE, PHOCIDAE, ODOBENIDAE, OTARIIDAE, MEPHITIDAE, PROCYONIDAE, MUSTELIDAE, AILURIDAE, URSIDAE, HYAENIDAE, HERPESTIDAE, VIVERRIDAE, FELIDAE",114,1138,0.43,0.15
"3","cmean",3,"RHINOPOMATIDAE, MEGADERMATIDAE, RHINOLOPHIDAE, HIPPOSIDERIDAE, PTEROPODIDAE, NOCTILIONIDAE, MORMOOPIDAE, PHYLLOSTOMIDAE",111,1251,0.35,0.12
"4","cmean",4,"Neotoma, Reithrodontomys, Onychomys, Peromyscus, Megadontomys, Baiomys, Tylomys, Sigmodon, Bibimys, Necromys, Akodon, Thaptomys, Oxymycterus, Zygodontomys, Hylaeamys, Nephelomys, Oecomys, Transandinomys, Handleyomys, Neacomys, Oligoryzomys, Nectomys, Melanomys, Oryzomys, Sooretamys, Calomys, Phyllotis, Loxodontomys, Graomys, Abrothrix",83,1807,0.31,0.09
"5","cmean_cov",1,"Scotophilus, Pipistrellus, Nyctalus, Vespertilio, Neoromicia, Ia",12,145,0.31,0.08
"6","cmean_cov",2,"EQUIDAE, RHINOCEROTIDAE, CAMELIDAE, SUIDAE, INIIDAE, PHOCOENIDAE, MONODONTIDAE, DELPHINIDAE, BOVIDAE",16,103,0.15,0.06
"7","cmeans_fla",1,"PITHECIIDAE, CALLITRICHIDAE, CEBIDAE, AOTIDAE, ATELIDAE, HYLOBATIDAE, HOMINIDAE, CERCOPITHECIDAE",60,582,0.22,0.07
"8","cmeans_fla",2,"MEGADERMATIDAE, RHINOLOPHIDAE, HIPPOSIDERIDAE",12,549,0.22,0.06
"9","cmeans_fla",3,"TRAGULIDAE, GIRAFFIDAE, ANTILOCAPRIDAE, CERVIDAE, BOVIDAE",60,412,0.01,0.07
"10","cmeans_fla",4,"VESPERTILIONIDAE",21,508,0.15,0.07
"11","cmean_rha",1,"CANIDAE, MEPHITIDAE, PROCYONIDAE, MUSTELIDAE, URSIDAE, HYAENIDAE, HERPESTIDAE, VIVERRIDAE, FELIDAE, EQUIDAE, CAMELIDAE, TAYASSUIDAE, SUIDAE, ANTILOCAPRIDAE, CERVIDAE, BOVIDAE, RHINOLOPHIDAE, HIPPOSIDERIDAE, PTEROPODIDAE, MORMOOPIDAE, PHYLLOSTOMIDAE, MOLOSSIDAE, VESPERTILIONIDAE, NYCTERIDAE, EMBALLONURIDAE",238,302,0.9,0.38
"12","cmean_rha",2,"SCIURIDAE",10,551,0.93,0.29
"13","cmean_tog",1,"CANIDAE, PHOCIDAE, MEPHITIDAE, PROCYONIDAE, URSIDAE, FELIDAE, EQUIDAE, TAPIRIDAE, CAMELIDAE, TAYASSUIDAE, SUIDAE, CERVIDAE, BOVIDAE, HIPPOSIDERIDAE, PTEROPODIDAE, PHYLLOSTOMIDAE, MOLOSSIDAE, VESPERTILIONIDAE, EMBALLONURIDAE",60,173,0.12,0.04
"14","cmax",1,"MANIDAE, CANIDAE, PHOCIDAE, ODOBENIDAE, OTARIIDAE, MEPHITIDAE, PROCYONIDAE, MUSTELIDAE, AILURIDAE, URSIDAE, HYAENIDAE, HERPESTIDAE, VIVERRIDAE, FELIDAE, EQUIDAE, TAPIRIDAE, RHINOCEROTIDAE, CAMELIDAE, TAYASSUIDAE, SUIDAE, HIPPOPOTAMIDAE, PHYSETERIDAE, INIIDAE, PHOCOENIDAE, MONODONTIDAE, DELPHINIDAE, ESCHRICHTIIDAE, BALAENOPTERIDAE, BALAENIDAE, TRAGULIDAE, GIRAFFIDAE, ANTILOCAPRIDAE, CERVIDAE, BOVIDAE, RHINOPOMATIDAE, MEGADERMATIDAE, RHINOLOPHIDAE, HIPPOSIDERIDAE, PTEROPODIDAE, NOCTILIONIDAE, MORMOOPIDAE, PHYLLOSTOMIDAE, NATALIDAE, MOLOSSIDAE, VESPERTILIONIDAE, NYCTERIDAE, EMBALLONURIDAE",468,1003,0.57,0.24
"15","cmax",2,"TAYASSUIDAE, SUIDAE, HIPPOPOTAMIDAE, PHYSETERIDAE, INIIDAE, PHOCOENIDAE, MONODONTIDAE, DELPHINIDAE, ESCHRICHTIIDAE, BALAENOPTERIDAE, BALAENIDAE, TRAGULIDAE, GIRAFFIDAE, ANTILOCAPRIDAE, CERVIDAE, BOVIDAE",118,1020,0.22,0.69
"16","cmax",3,"Neotoma, Reithrodontomys, Onychomys, Peromyscus, Megadontomys, Baiomys",30,1808,0.72,0.2
"17","cmax",4,"RHINOPOMATIDAE, MEGADERMATIDAE, RHINOLOPHIDAE, HIPPOSIDERIDAE",30,1408,0.33,0.72
"18","cmax",5,"PHOCIDAE, ODOBENIDAE, OTARIIDAE",16,1205,0.21,0.75
"19","cmax_cov",1,"Scotophilus, Pipistrellus, Nyctalus, Vespertilio, Neoromicia, Ia",12,145,0.32,0.08
"20","cmax_cov",2,"EQUIDAE, RHINOCEROTIDAE, CAMELIDAE, SUIDAE, INIIDAE, PHOCOENIDAE, MONODONTIDAE, DELPHINIDAE, BOVIDAE",16,103,0.15,0.06
"21","cmax_fla",1,"PITHECIIDAE, CALLITRICHIDAE, CEBIDAE, AOTIDAE, ATELIDAE, HYLOBATIDAE, HOMINIDAE, CERCOPITHECIDAE",60,582,0.28,0.09
"22","cmax_fla",2,"MEGADERMATIDAE, RHINOLOPHIDAE, HIPPOSIDERIDAE, PTEROPODIDAE, NOCTILIONIDAE, MORMOOPIDAE, PHYLLOSTOMIDAE, NATALIDAE, MOLOSSIDAE, VESPERTILIONIDAE, EMBALLONURIDAE",75,496,0.16,0.07
"23","cmax_fla",3,"ELEPHANTIDAE, DASYPODIDAE, MYRMECOPHAGIDAE, CYCLOPEDIDAE, MEGALONYCHIDAE, BRADYPODIDAE",10,744,0.18,0.07
"24","cmax_fla",4,"CANIDAE, PHOCIDAE, MEPHITIDAE, PROCYONIDAE, MUSTELIDAE, AILURIDAE, URSIDAE, HERPESTIDAE, FELIDAE",26,471,0.12,0.06
"25","cmax_fla",5,"TRAGULIDAE, GIRAFFIDAE, ANTILOCAPRIDAE, CERVIDAE, BOVIDAE",60,412,0.03,0.07
"26","cmax_rha",1,"CANIDAE, MEPHITIDAE, PROCYONIDAE, MUSTELIDAE, URSIDAE, HYAENIDAE, HERPESTIDAE, VIVERRIDAE, FELIDAE, EQUIDAE, CAMELIDAE, TAYASSUIDAE, SUIDAE, ANTILOCAPRIDAE, CERVIDAE, BOVIDAE, RHINOLOPHIDAE, HIPPOSIDERIDAE, PTEROPODIDAE, MORMOOPIDAE, PHYLLOSTOMIDAE, MOLOSSIDAE, VESPERTILIONIDAE, NYCTERIDAE, EMBALLONURIDAE",238,302,0.96,0.43
"27","cmax_rha",2,"SCIURIDAE",10,551,1,0.32
"28","cmax_tog",1,"CANIDAE, PHOCIDAE, MEPHITIDAE, PROCYONIDAE, URSIDAE, FELIDAE, EQUIDAE, TAPIRIDAE, CAMELIDAE, TAYASSUIDAE, SUIDAE, CERVIDAE, BOVIDAE, HIPPOSIDERIDAE, PTEROPODIDAE, PHYLLOSTOMIDAE, MOLOSSIDAE, VESPERTILIONIDAE, EMBALLONURIDAE",60,173,0.17,0.06
"29","cot",1,"HYLOBATIDAE, HOMINIDAE, CERCOPITHECIDAE",81,1458,0.84,0.29
"30","cot",2,"RHINOPOMATIDAE, MEGADERMATIDAE, RHINOLOPHIDAE, HIPPOSIDERIDAE, PTEROPODIDAE",63,1343,0.5,0.27
"31","cot",3,"Bibimys, Necromys, Akodon, Thaptomys, Oxymycterus",16,1761,0.86,0.26
"32","cot",4,"TUPAIIDAE, GALAGIDAE, LORISIDAE, INDRIIDAE, LEMURIDAE, LEPILEMURIDAE, PITHECIIDAE, CALLITRICHIDAE, CEBIDAE, AOTIDAE, ATELIDAE",52,1406,0.51,0.24
"33","cot_fla",1,"PITHECIIDAE, CALLITRICHIDAE, CEBIDAE, AOTIDAE, ATELIDAE, HYLOBATIDAE, HOMINIDAE, CERCOPITHECIDAE",60,486,0.67,0.17
"34","cot_fla",2,"MEGADERMATIDAE, RHINOLOPHIDAE, HIPPOSIDERIDAE, PTEROPODIDAE, MORMOOPIDAE, PHYLLOSTOMIDAE, NATALIDAE, MOLOSSIDAE, VESPERTILIONIDAE, EMBALLONURIDAE",72,403,0.33,0.1
"35","cot_fla",3,"TALPIDAE, SORICIDAE, ERINACEIDAE, CANIDAE, PHOCIDAE, MEPHITIDAE, PROCYONIDAE, MUSTELIDAE, AILURIDAE, URSIDAE, HERPESTIDAE, FELIDAE, EQUIDAE, RHINOCEROTIDAE, CAMELIDAE, TAYASSUIDAE, SUIDAE, DELPHINIDAE, GIRAFFIDAE, ANTILOCAPRIDAE, CERVIDAE, BOVIDAE, GALAGIDAE, LORISIDAE, INDRIIDAE, LEMURIDAE, LEPILEMURIDAE, OCHOTONIDAE, LEPORIDAE, GLIRIDAE, SCIURIDAE, CTENODACTYLIDAE, HYSTRICIDAE, DASYPROCTIDAE, CAVIIDAE, ERETHIZONTIDAE, ECHIMYIDAE, DIPODIDAE, CRICETIDAE, MURIDAE, HETEROMYIDAE, GEOMYIDAE",180,335,0.07,0.35
"36","cot_tog",1,"GALAGIDAE, LEMURIDAE, CEBIDAE, ATELIDAE, HOMINIDAE, CERCOPITHECIDAE",17,226,0.82,0.04
"37","dbmean",1,"RHINOLOPHIDAE",16,1411,1059.61,174.02
