"","ID","factor","taxa","tips","node","clade","other"
"1","samp",1,"HYLOBATIDAE, HOMINIDAE, CERCOPITHECIDAE",86,1526,4.80232558141044,2.78595317738405
"2","samp",2,"EQUIDAE, TAPIRIDAE, RHINOCEROTIDAE, CAMELIDAE, TAYASSUIDAE, SUIDAE, HIPPOPOTAMIDAE, PHYSETERIDAE, INIIDAE, PHOCOENIDAE, MONODONTIDAE, DELPHINIDAE, ESCHRICHTIIDAE, BALAENOPTERIDAE, BALAENIDAE, TRAGULIDAE, GIRAFFIDAE, ANTILOCAPRIDAE, CERVIDAE, BOVIDAE",133,1005,4.15789474786408,2.5471204188609
"3","samp",3,"TAYASSUIDAE, SUIDAE, HIPPOPOTAMIDAE, PHYSETERIDAE, INIIDAE, PHOCOENIDAE, MONODONTIDAE, DELPHINIDAE, ESCHRICHTIIDAE, BALAENOPTERIDAE, BALAENIDAE, TRAGULIDAE, GIRAFFIDAE, ANTILOCAPRIDAE, CERVIDAE, BOVIDAE",118,1020,3.51694915590653,9.20000000047649
"4","samp",4,"Bos, Bison, Bubalus, Syncerus",11,1068,7.81818181966287,3.07476635585445
"5","samp",5,"Rattus",11,1718,5.63636364131089,2.5019920318801
"6","samp",6,"CANIDAE",22,1176,4.36363636529583,2.44596443228872
"7","samp",7,"Ovis, Hemitragus, Capra, Budorcas",12,1113,5.66666666666673,2.74736842105263
"8","samp",8,"CERVIDAE",20,1046,4.50000000000533,2.28000000000171
"9","samp",9,"Mus, Hylomyscus, Praomys, Mastomys, Stenocephalemys, Apodemus, Malacomys",26,1741,4.0384615384615,2.38723404255314
"10","samp",10,"PTEROPODIDAE",34,1437,3.76470588235408,2.31743666169967
"11","samp",11,"Artibeus, Dermanura, Vampyrodes, Platyrrhinus, Uroderma, Sturnira, Rhinophylla, Carollia",21,1377,4.19047619049121,2.25692307692345
"12","samp",12,"Dicrostonyx, Ondatra, Lemmus, Arvicola, Lagurus, Chionomys, Microtus, Myodes, Alticola, Eothenomys, Cricetulus, Tscherskia, Mesocricetus, Phodopus",39,1769,3.3076923077165,2.18985270049119
"13","samp",13,"FELIDAE",21,1155,3.5714285714299,2.14067796610185
"14","samp_fla",1,"MORMOOPIDAE, PHYLLOSTOMIDAE",20,529,3.05,1.64542936288089
"15","samp_tog",1,"EQUIDAE, TAPIRIDAE, CAMELIDAE, TAYASSUIDAE, SUIDAE, CERVIDAE, BOVIDAE",14,175,2.85714285714285,1.36129032258065
"16","cites",1,"Bos, Bison, Bubalus, Syncerus",11,1068,183.217221719378,22.0549805742302
"17","cites",2,"CUNICULIDAE, DASYPROCTIDAE, CAVIIDAE, ERETHIZONTIDAE, CHINCHILLIDAE, ECHIMYIDAE, MYOCASTORIDAE",18,1676,132.395600307228,19.9730820887054
"18","cites",3,"Rattus",11,1718,130.456711839757,18.684301678036
"19","cites",4,"Mus, Hylomyscus, Praomys, Mastomys, Stenocephalemys",16,1742,95.1294144227413,17.3648606813623
"20","cites",5,"FELIDAE",21,1155,79.6371418860716,15.9214634348949
"21","cites",6,"Ovis, Hemitragus, Capra, Budorcas, Oreamnos, Rupicapra, Ammotragus",16,1112,88.427456616917,14.6179849057811
"22","cites",7,"Macaca, Lophocebus, Papio, Theropithecus, Mandrillus, Cercocebus, Cercopithecus, Erythrocebus, Chlorocebus, Miopithecus, Allenopithecus",64,1548,47.9367954876689,12.0363821488305
"23","cites",8,"Lycaon, Chrysocyon, Canis, Pseudalopex, Speothos, Cerdocyon",11,1187,72.9459737526049,11.2142895014166
"24","cites",9,"OCHOTONIDAE, LEPORIDAE",11,1907,63.2884742519705,10.5018317498542
"25","cites_fla",1,"Rattus, Mus, Praomys, Mastomys, Apodemus, Aethomys, Thallomys, Arvicanthis, Dasymys, Golunda, Millardia, Vandeleuria",19,684,157.069165142746,29.7809188028727
"26","cites_fla",2,"Tragelaphus, Bos, Bison, Bubalus, Syncerus",13,431,154.979266550008,25.1173700329213
"27","cites_rha",1,"LEPORIDAE, SCIURIDAE, CUNICULIDAE, DASYPROCTIDAE, CAVIIDAE, ERETHIZONTIDAE, ECHIMYIDAE, MYOCASTORIDAE, CRICETIDAE, MURIDAE, HETEROMYIDAE, CASTORIDAE",38,548,153.048136910842,24.2878472867339
"28","cites_tog",1,"Rattus, Hydromys, Pseudomys, Mus, Mastomys, Apodemus",10,272,288.012832373164,28.7242690779993
"29","cites_tog",2,"CANIDAE, PHOCIDAE, MEPHITIDAE, PROCYONIDAE, URSIDAE, FELIDAE, EQUIDAE, TAPIRIDAE, CAMELIDAE, TAYASSUIDAE, SUIDAE, CERVIDAE, BOVIDAE",24,174,86.4498638838199,18.4619411125208
"30","cites_tog",3,"HOMINIDAE, CERCOPITHECIDAE",13,238,92.9201577698633,10.527868845755
"31","cites_par",1,"RHINOLOPHIDAE, HIPPOSIDERIDAE, PTEROPODIDAE, VESPERTILIONIDAE",35,56,5.53546164865338,308.534506779366
"32","bsamp",1,"NATALIDAE, MOLOSSIDAE, VESPERTILIONIDAE, NYCTERIDAE, EMBALLONURIDAE",109,223,1.82568807339451,3.18018018018425
"33","bsamp_fla",1,"MORMOOPIDAE, PHYLLOSTOMIDAE",20,109,3.04999999999999,1.65454545454545
"34","bcites_rha",1,"MORMOOPIDAE, PHYLLOSTOMIDAE, MOLOSSIDAE, VESPERTILIONIDAE, NYCTERIDAE, EMBALLONURIDAE",114,132,4.87589275459439,7.60144353227496
