"","ID","factor","taxa","tips","node","clade","other"
"1","cites",1,"Rattus",11,1718,331907.363636376,11013.804582515
"2","cites",2,"CUNICULIDAE, DASYPROCTIDAE, CAVIIDAE, ERETHIZONTIDAE, CHINCHILLIDAE, ECHIMYIDAE, MYOCASTORIDAE",18,1676,211894.222222174,7223.60796656587
"3","cites",3,"Mus, Hylomyscus, Praomys, Mastomys, Stenocephalemys",16,1742,127598.375000009,5170.30703624794
"4","cites",4,"Bos, Bison, Bubalus, Syncerus",11,1068,110815.090909055,3916.70118662284
"5","cites",5,"Ovis, Hemitragus, Capra, Budorcas, Oreamnos, Rupicapra, Ammotragus",16,1112,44668.250000002,3200.97706445706
"6","cites",6,"RHINOPOMATIDAE, MEGADERMATIDAE, RHINOLOPHIDAE, HIPPOSIDERIDAE, PTEROPODIDAE, NOCTILIONIDAE, MORMOOPIDAE, PHYLLOSTOMIDAE, NATALIDAE, MOLOSSIDAE, VESPERTILIONIDAE, NYCTERIDAE, EMBALLONURIDAE",220,1251,125.70909090918,4180.07815412756
"7","cites",7,"OCHOTONIDAE, LEPORIDAE",11,1907,33617.7272727253,3703.88088449693
"8","cites",8,"FELIDAE",21,1155,22695.7142857159,3098.67830804847
"9","cites",9,"Lycaon, Chrysocyon, Canis, Pseudalopex, Speothos, Cerdocyon",11,1187,32978.0909090905,2591.46605033369
"10","cites",10,"Muntiacus, Elaphodus, Dama, Elaphurus, Cervus, Rusa, Rucervus, Axis",10,1047,27748.299999997,2197.1583073085
"11","cites",11,"Macaca, Lophocebus, Papio, Theropithecus, Mandrillus, Cercocebus, Cercopithecus, Erythrocebus, Chlorocebus, Miopithecus, Allenopithecus",64,1548,9561.71875000084,1376.02265147636
"12","cites",12,"Dicrostonyx, Ondatra, Lemmus, Arvicola, Lagurus, Chionomys, Microtus, Myodes, Alticola, Eothenomys, Cricetulus, Tscherskia, Mesocricetus, Phodopus",39,1769,11861.8461606536,611.635543769378
"13","cites",13,"Arvicola, Lagurus, Chionomys, Microtus, Myodes, Alticola, Eothenomys",29,1774,4797.03448692458,32349.7999999996
"14","cites",14,"MANIDAE, CANIDAE, PHOCIDAE, ODOBENIDAE, OTARIIDAE, MEPHITIDAE, PROCYONIDAE, MUSTELIDAE, AILURIDAE, URSIDAE, HYAENIDAE, HERPESTIDAE, VIVERRIDAE, EQUIDAE, TAPIRIDAE, RHINOCEROTIDAE, CAMELIDAE, TAYASSUIDAE, SUIDAE, HIPPOPOTAMIDAE, PHYSETERIDAE, INIIDAE, PHOCOENIDAE, MONODONTIDAE, DELPHINIDAE, ESCHRICHTIIDAE, BALAENOPTERIDAE, BALAENIDAE, TRAGULIDAE, GIRAFFIDAE, ANTILOCAPRIDAE, CERVIDAE, BOVIDAE",179,1004,1368.79888414676,230.926966292437
"15","cites",15,"Cercopithecus lomamiensis, Cercopithecus lhoesti, Cercopithecus preussi, Cercopithecus cephus, Cercopithecus erythrotis, Cercopithecus ascanius, Cercopithecus petaurista, Cercopithecus erythrogaster, Cercopithecus mitis, Cercopithecus nictitans",10,1599,29.4000000000074,11326.9629629629
"16","cites",16,"Lophocebus, Papio, Theropithecus, Mandrillus, Cercocebus",14,1571,1288.28573150913,14840.5000833794
"17","cites",17,"Microtus gregalis, Microtus ilaeus, Microtus levis, Microtus arvalis, Microtus socialis, Microtus guentheri, Microtus dogramacii, Microtus subterraneus, Microtus agrestis, Microtus pennsylvanicus, Microtus montanus, Microtus ochrogaster, Microtus californicus, Microtus richardsoni",14,1778,9806.21428571427,121.799999999998
"18","cites",18,"Macaca sinica, Macaca nigrescens, Macaca tonkeana, Macaca hecki, Macaca maura, Macaca ochreata, Macaca silenus, Macaca pagensis, Macaca nemestrina, Macaca leonina, Macaca munzala, Macaca radiata, Macaca assamensis, Macaca thibetana, Macaca mulatta, Macaca fuscata, Macaca nigra, Macaca cyclopis, Macaca arctoides, Macaca leucogenys, Macaca fascicularis",21,1551,7615.76190476322,22825.7368421053
"19","cites",19,"TRAGULIDAE, GIRAFFIDAE, ANTILOCAPRIDAE, CERVIDAE, BOVIDAE",60,1041,160.316666666666,1978.11764708948
